env,episode,model,success,steps,reward,buffer_size,history_window,tokens,time
MiniGrid-DoorKey-5x5-v0,2,Qwen/Qwen2.5-3B-Instruct,False,50,0.0,3,3,134,4.3878514766693115
MiniGrid-DoorKey-5x5-v0,3,Qwen/Qwen2.5-3B-Instruct,False,50,0.0,3,3,103,3.4211037158966064
MiniGrid-DoorKey-5x5-v0,4,Qwen/Qwen2.5-3B-Instruct,False,50,0.0,3,3,133,4.364705801010132
MiniGrid-Empty-8x8-v0,0,Qwen/Qwen2.5-3B-Instruct,True,24,0.915625,2,1,52,1.7517406940460205
MiniGrid-Empty-8x8-v0,1,Qwen/Qwen2.5-3B-Instruct,True,24,0.915625,2,1,52,1.6804320812225342
MiniGrid-Empty-8x8-v0,2,Qwen/Qwen2.5-3B-Instruct,True,24,0.915625,2,1,52,1.7173664569854736
MiniGrid-Empty-8x8-v0,3,Qwen/Qwen2.5-3B-Instruct,True,24,0.915625,2,1,52,1.710434913635254
MiniGrid-Empty-8x8-v0,4,Qwen/Qwen2.5-3B-Instruct,True,24,0.915625,2,1,52,1.6950757503509521
MiniGrid-Empty-8x8-v0,0,Qwen/Qwen2.5-3B-Instruct,True,24,0.915625,2,2,52,1.7119419574737549
MiniGrid-Empty-8x8-v0,1,Qwen/Qwen2.5-3B-Instruct,True,24,0.915625,2,2,52,1.6912667751312256
MiniGrid-Empty-8x8-v0,2,Qwen/Qwen2.5-3B-Instruct,True,24,0.915625,2,2,52,1.6867797374725342
MiniGrid-Empty-8x8-v0,3,Qwen/Qwen2.5-3B-Instruct,True,24,0.915625,2,2,52,1.6965901851654053
MiniGrid-Empty-8x8-v0,4,Qwen/Qwen2.5-3B-Instruct,True,24,0.915625,2,2,52,1.7273504734039307
MiniGrid-Empty-8x8-v0,0,Qwen/Qwen2.5-3B-Instruct,True,24,0.915625,2,3,52,1.7386186122894287
MiniGrid-Empty-8x8-v0,1,Qwen/Qwen2.5-3B-Instruct,True,24,0.915625,2,3,52,1.687699556350708
MiniGrid-Empty-8x8-v0,2,Qwen/Qwen2.5-3B-Instruct,True,24,0.915625,2,3,52,1.703608512878418
MiniGrid-Empty-8x8-v0,3,Qwen/Qwen2.5-3B-Instruct,True,24,0.915625,2,3,52,1.722313404083252
MiniGrid-Empty-8x8-v0,4,Qwen/Qwen2.5-3B-Instruct,True,24,0.915625,2,3,52,1.724989652633667
MiniGrid-Empty-8x8-v0,0,Qwen/Qwen2.5-3B-Instruct,True,24,0.915625,3,1,52,1.6947104930877686
MiniGrid-Empty-8x8-v0,1,Qwen/Qwen2.5-3B-Instruct,True,24,0.915625,3,1,52,1.739823818206787
MiniGrid-Empty-8x8-v0,2,Qwen/Qwen2.5-3B-Instruct,True,24,0.915625,3,1,52,1.73106050491333
MiniGrid-Empty-8x8-v0,3,Qwen/Qwen2.5-3B-Instruct,True,24,0.915625,3,1,52,1.6903996467590332
MiniGrid-Empty-8x8-v0,4,Qwen/Qwen2.5-3B-Instruct,True,24,0.915625,3,1,52,1.6857731342315674
MiniGrid-Empty-8x8-v0,0,Qwen/Qwen2.5-3B-Instruct,True,24,0.915625,3,2,52,1.7116916179656982
MiniGrid-Empty-8x8-v0,1,Qwen/Qwen2.5-3B-Instruct,True,24,0.915625,3,2,52,1.7335505485534668
MiniGrid-Empty-8x8-v0,2,Qwen/Qwen2.5-3B-Instruct,True,24,0.915625,3,2,52,1.6913630962371826
MiniGrid-Empty-8x8-v0,3,Qwen/Qwen2.5-3B-Instruct,True,24,0.915625,3,2,52,1.6564109325408936
MiniGrid-Empty-8x8-v0,4,Qwen/Qwen2.5-3B-Instruct,True,24,0.915625,3,2,52,1.6537368297576904
MiniGrid-Empty-8x8-v0,0,Qwen/Qwen2.5-3B-Instruct,True,24,0.915625,3,3,52,1.680091142654419
MiniGrid-Empty-8x8-v0,1,Qwen/Qwen2.5-3B-Instruct,True,24,0.915625,3,3,52,1.6786646842956543
MiniGrid-Empty-8x8-v0,2,Qwen/Qwen2.5-3B-Instruct,True,24,0.915625,3,3,52,1.6747655868530273
MiniGrid-Empty-8x8-v0,3,Qwen/Qwen2.5-3B-Instruct,True,24,0.915625,3,3,52,1.6527924537658691
MiniGrid-Empty-8x8-v0,4,Qwen/Qwen2.5-3B-Instruct,True,24,0.915625,3,3,52,1.6498589515686035
MiniGrid-LavaGapS7-v0,0,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,2,1,126,3.446438789367676
MiniGrid-LavaGapS7-v0,1,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,2,1,145,3.9124338626861572
MiniGrid-LavaGapS7-v0,2,Qwen/Qwen2.5-7B-Instruct,True,11,0.9494897959183674,2,1,25,0.6877896785736084
MiniGrid-LavaGapS7-v0,3,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,2,1,117,3.20178484916687
MiniGrid-LavaGapS7-v0,4,Qwen/Qwen2.5-7B-Instruct,False,50,0.0,2,1,117,3.206444263458252
