env,episode,policy,use_history,history_window,max_steps,model,mock,buffer_size,success,steps,reward,tokens,time,resolved_env,n_episodes_setting
MiniGrid-DoorKey-5x5-v0,0,BoT_buf2_k3,True,3,50,Qwen/Qwen2.5-3B-Instruct,False,2,False,50,0.0,147,5.005437612533569,MiniGrid-DoorKey-5x5-v0,5
MiniGrid-DoorKey-5x5-v0,1,BoT_buf2_k3,True,3,50,Qwen/Qwen2.5-3B-Instruct,False,2,False,50,0.0,149,5.0104498863220215,MiniGrid-DoorKey-5x5-v0,5
MiniGrid-DoorKey-5x5-v0,2,BoT_buf2_k3,True,3,50,Qwen/Qwen2.5-3B-Instruct,False,2,False,50,0.0,150,5.0700201988220215,MiniGrid-DoorKey-5x5-v0,5
MiniGrid-DoorKey-5x5-v0,3,BoT_buf2_k3,True,3,50,Qwen/Qwen2.5-3B-Instruct,False,2,False,50,0.0,147,4.8798418045043945,MiniGrid-DoorKey-5x5-v0,5
MiniGrid-DoorKey-5x5-v0,4,BoT_buf2_k3,True,3,50,Qwen/Qwen2.5-3B-Instruct,False,2,False,50,0.0,149,4.982744932174683,MiniGrid-DoorKey-5x5-v0,5
MiniGrid-DoorKey-5x5-v0,0,BoT_buf3_k1,True,1,50,Qwen/Qwen2.5-3B-Instruct,False,3,False,50,0.0,148,4.9797868728637695,MiniGrid-DoorKey-5x5-v0,5
MiniGrid-DoorKey-5x5-v0,1,BoT_buf3_k1,True,1,50,Qwen/Qwen2.5-3B-Instruct,False,3,False,50,0.0,147,4.967597961425781,MiniGrid-DoorKey-5x5-v0,5
MiniGrid-DoorKey-5x5-v0,2,BoT_buf3_k1,True,1,50,Qwen/Qwen2.5-3B-Instruct,False,3,False,50,0.0,148,4.991132020950317,MiniGrid-DoorKey-5x5-v0,5
MiniGrid-DoorKey-5x5-v0,3,BoT_buf3_k1,True,1,50,Qwen/Qwen2.5-3B-Instruct,False,3,False,50,0.0,148,4.989202499389648,MiniGrid-DoorKey-5x5-v0,5
MiniGrid-DoorKey-5x5-v0,4,BoT_buf3_k1,True,1,50,Qwen/Qwen2.5-3B-Instruct,False,3,False,50,0.0,148,5.0504326820373535,MiniGrid-DoorKey-5x5-v0,5
MiniGrid-DoorKey-5x5-v0,0,BoT_buf3_k2,True,2,50,Qwen/Qwen2.5-3B-Instruct,False,3,False,50,0.0,133,4.593641757965088,MiniGrid-DoorKey-5x5-v0,5
MiniGrid-DoorKey-5x5-v0,1,BoT_buf3_k2,True,2,50,Qwen/Qwen2.5-3B-Instruct,False,3,False,50,0.0,132,4.384169101715088,MiniGrid-DoorKey-5x5-v0,5
MiniGrid-DoorKey-5x5-v0,2,BoT_buf3_k2,True,2,50,Qwen/Qwen2.5-3B-Instruct,False,3,False,50,0.0,133,4.599107503890991,MiniGrid-DoorKey-5x5-v0,5
MiniGrid-DoorKey-5x5-v0,3,BoT_buf3_k2,True,2,50,Qwen/Qwen2.5-3B-Instruct,False,3,False,50,0.0,132,4.396470069885254,MiniGrid-DoorKey-5x5-v0,5
MiniGrid-DoorKey-5x5-v0,4,BoT_buf3_k2,True,2,50,Qwen/Qwen2.5-3B-Instruct,False,3,False,50,0.0,133,4.541340351104736,MiniGrid-DoorKey-5x5-v0,5
